,ID,CourseID,Title,Awarding_Body,School,Credit,skills,Awarding_Body_Short,Course_Area,Course_Area_ID,Awarding_Body_Type
283,284,NURS N8246 , Cardiovascular and Respiratory Nursing ,Dundalk Institute of Technology,Nursing and midwifery,Yes,,DKIT,Healthcare / Medical / Nursing,9,IoT
284,285,BIOL S7011 , Cell Biology and Biochemistry ,Dundalk Institute of Technology,Veterinary,Yes,,DKIT,Pharmaceutical / Science / Agriculture,18,IoT
285,286,CULT H2023 , Celtic Ireland and Europe ,Dundalk Institute of Technology,Humanities,Yes,,DKIT,Academic,1,IoT
286,287,ARCH H8015 , Certificate in Cultural Landscapes: Newgrange and The Boyne Valley ,Dundalk Institute of Technology,History and archaeology,Yes,,DKIT,Academic,1,IoT
287,288,COMP C9041 , Character and Visual FX ,Dundalk Institute of Technology,Computer Science,Yes,,DKIT,IT,11,IoT
288,289,AGRI S6012 , Chemical and Environmental Risk Assessment ,Dundalk Institute of Technology,Manufacturing & Processing,Yes,,DKIT,Manufacturing / Engineering,14,IoT
289,290,PSYC N8064 , Child Development ,Dundalk Institute of Technology,Psychology,Yes,,DKIT,Healthcare / Medical / Nursing,9,IoT
290,291,HLST N8140 , Chronic Illness and Lifestyle Interventions 1 ,Dundalk Institute of Technology,Health,Yes,,DKIT,Healthcare / Medical / Nursing,9,IoT
291,292,HLST N8143 , Chronic Illness and Lifestyle Interventions 2 ,Dundalk Institute of Technology,Health,Yes,,DKIT,Healthcare / Medical / Nursing,9,IoT
292,293,NURS N8252 , Chronic Illness and Older Adults ,Dundalk Institute of Technology,Health,Yes,,DKIT,Healthcare / Medical / Nursing,9,IoT
293,294,FILM H7Z09 , Cinema and Ireland ,Dundalk Institute of Technology,Audio-visual techniques and media production,Yes,,DKIT,Online /Digital Media,17,IoT
294,295,CUCR S7002 , Client Care and Relationship Marketing ,Dundalk Institute of Technology,Veterinary,Yes,,DKIT,Marketing /Market Research,15,IoT
295,296,COMP I8011 , Client Side Web Development,Dundalk Institute of Technology,Computing,Yes,,DKIT,IT,11,IoT
296,297,NURS N8156 , Clinical assessment and management of the acutely ill adult within the Emergency Department ,Dundalk Institute of Technology,Nursing and midwifery,Yes,,DKIT,Healthcare / Medical / Nursing,9,IoT
297,298,NURS N8256 , Clinical Leadership and Management for Professional Nursing Practice ,Dundalk Institute of Technology,Health,Yes,,DKIT,Healthcare / Medical / Nursing,9,IoT
298,299,57002, Clinical Practice for Nurse and Midwife Prescribing ,Dundalk Institute of Technology,Health,Yes,,DKIT,Healthcare / Medical / Nursing,9,IoT
299,300,PROJ I8006 , Collaborative Project ,Dundalk Institute of Technology,Computing,Yes,,DKIT,IT,11,IoT
300,301,DATA N8064 , Collecting and Analysing Data ,Dundalk Institute of Technology,Health,Yes,,DKIT,Healthcare / Medical / Nursing,9,IoT
301,302,50865, COLLECTION & ARCHIVING ,Dundalk Institute of Technology,Music and performing arts,Yes,,DKIT,Architecture / Design,3,IoT
302,303,MEDA C8022 , Colour Correction and Grading ,Dundalk Institute of Technology,Audio-visual techniques and media production,Yes,,DKIT,Online /Digital Media,17,IoT
303,304,SOCC H8011 , Communication and Collaborative Practice in Social Care ,Dundalk Institute of Technology,Social work and counselling,Yes,,DKIT,Healthcare / Medical / Nursing,9,IoT
304,305,NURS N8218 , Communication and Interpersonal Skills ,Dundalk Institute of Technology,Health,Yes,,DKIT,Healthcare / Medical / Nursing,9,IoT
305,306,COMM N8007 , Communication and Interpersonal Skills for Midwifery Practice ,Dundalk Institute of Technology,Nursing and midwifery,Yes,,DKIT,Healthcare / Medical / Nursing,9,IoT
306,307,No ID Found,Communication and Location Technologies in Agricultur,Dundalk Institute of Technology,Computing,Yes,,DKIT,IT,11,IoT
307,308,MUSC U7017 , Communication and Popular Music ,Dundalk Institute of Technology,Music and performing arts,Yes,,DKIT,Architecture / Design,3,IoT
308,309,COMM H7001 , Communication and Research ,Dundalk Institute of Technology,Audio-visual techniques and media production,Yes,,DKIT,Online /Digital Media,17,IoT
309,310,MEDA C8Z23 , Communication Design and Illustration ,Dundalk Institute of Technology,Design,Yes,,DKIT,Architecture / Design,3,IoT
310,311,COMP C7011 , Communication Skills ,Dundalk Institute of Technology,Computing,Yes,,DKIT,IT,11,IoT
311,312,MEDA C8Z18 ," Communication, Research and Core Study Skills ",Dundalk Institute of Technology,Humanities and Arts,Yes,,DKIT,Architecture / Design,3,IoT
312,313,COMM B7Z08 , Communications and Professional Development for the Service Industry ,Dundalk Institute of Technology,"Hotel, restaurant and catering",Yes,,DKIT,Online /Digital Media,17,IoT
313,314,COMD H1005 , Community Development 1 ,Dundalk Institute of Technology,Humanities,Yes,,DKIT,Healthcare / Medical / Nursing,9,IoT
314,315,COMD B7003 , Community Development 2 ,Dundalk Institute of Technology,Humanities,Yes,,DKIT,Healthcare / Medical / Nursing,9,IoT
315,316,COMD H2019 , Community Development and Active Citizenship ,Dundalk Institute of Technology,Humanities,Yes,,DKIT,Healthcare / Medical / Nursing,9,IoT
316,317,NURS N8225 , Complementary and Alternative Therapies ,Dundalk Institute of Technology,Nursing and midwifery,Yes,,DKIT,Healthcare / Medical / Nursing,9,IoT
317,318,SOCC H8028 , Compliance and Quality in Social Care ,Dundalk Institute of Technology,"Social Science, Business and Law",Yes,,DKIT,Healthcare / Medical / Nursing,9,IoT
318,319,MMED C8Z09 , Compositing and Visual Effects ,Dundalk Institute of Technology,Audio-visual techniques and media production,Yes,,DKIT,Online /Digital Media,17,IoT
319,320,COMP C8046 , Computer Animation Theory and Practice ,Dundalk Institute of Technology,Audio-visual techniques and media production,Yes,,DKIT,Online /Digital Media,17,IoT
320,321,COMP I8022 , Computer Architecture ,Dundalk Institute of Technology,Computing,Yes,,DKIT,IT,11,IoT
321,322,COMP C9025 , Computer Vision and AI ,Dundalk Institute of Technology,Computer Science,Yes,,DKIT,IT,11,IoT
322,323,MUSC U8188 , Conducting and Ensemble Directing ,Dundalk Institute of Technology,Music and performing arts,Yes,,DKIT,Architecture / Design,3,IoT
323,324,NURS N8245 , Consolidation/Preparation for Midwifery Practice ,Dundalk Institute of Technology,Nursing and midwifery,Yes,,DKIT,Healthcare / Medical / Nursing,9,IoT
324,325,MATH I7002 , Construction Mathematics ,Dundalk Institute of Technology,Building and civil engineering,Yes,,DKIT,Construction / Engineering,5,IoT
325,326,BDLU E7010 , Construction Technology & Detailing (LT) ,Dundalk Institute of Technology,Building and civil engineering,Yes,,DKIT,Construction / Engineering,5,IoT
326,327,COMM N8009 , Consultation and Evaluation ,Dundalk Institute of Technology,Training for pre-school teachers,Yes,,DKIT,Education / Training,6,IoT
327,328,EDUC N7017 , Consultation and Evaluation in Early Childhood ,Dundalk Institute of Technology,Training for pre-school teachers,Yes,,DKIT,Education / Training,6,IoT
328,329,FREN H8010 , Contemporary French and French World Literature and Cinema ,Dundalk Institute of Technology,Humanities,Yes,,DKIT,Multi-lingual,16,IoT
329,330,NURS N8257 , Contemporary Nursing Practice ,Dundalk Institute of Technology,Health,Yes,,DKIT,Healthcare / Medical / Nursing,9,IoT
330,331,ARTS H7030 , Contemporary Theatre and Practice ,Dundalk Institute of Technology,Music and performing arts,Yes,,DKIT,Architecture / Design,3,IoT
331,332,SOCC H8024 , Continuing Professional Development and Social Care ,Dundalk Institute of Technology,Social work and counselling,Yes,,DKIT,Healthcare / Medical / Nursing,9,IoT
332,333,ELTR E8017 , Control Systems and Automation Engineering ,Dundalk Institute of Technology,Electronics and automation,Yes,,DKIT,Construction / Engineering,5,IoT
333,334,ACCT B8007 , Corporate Reporting and Accountability ,Dundalk Institute of Technology,Accounting and taxation,Yes,,DKIT,Accountancy / Finance,2,IoT
334,335,ACCT B8004 , Cost and Management Accounting ,Dundalk Institute of Technology,Accounting and taxation,Yes,,DKIT,Accountancy / Finance,2,IoT
335,336,SOCC H8014 , Creative and Reflective Practice in Social Care ,Dundalk Institute of Technology,Social work and counselling,Yes,,DKIT,Healthcare / Medical / Nursing,9,IoT
336,337,MEDA C8Z03 , Creative Collaborative Development ,Dundalk Institute of Technology,Personal skills and development,Yes,,DKIT,Education / Training,6,IoT
337,338,MEDA C8Z11 , Creativity and Innovation ,Dundalk Institute of Technology,Audio-visual techniques and media production,Yes,,DKIT,Online /Digital Media,17,IoT
338,339,EDUC N7010 , Creativity and the Arts in Early Childhood Studies 1 ,Dundalk Institute of Technology,Training for pre-school teachers,Yes,,DKIT,Education / Training,6,IoT
339,340,BUSSB8032 , Creativity for Innovation and Entrepreneurship ,Dundalk Institute of Technology,Business & Administration,Yes,,DKIT,Secreterial / Admin / PA,20,IoT
340,341,BUSS B7Z02 ," Creativity, Innovation and Teamwork ",Dundalk Institute of Technology,Sports,Yes,,DKIT,Managers / Supervisors,13,IoT
341,342,53934," Creativity, Innovation and Teamwork ",Dundalk Institute of Technology,Building and civil engineering,Yes,,DKIT,Construction / Engineering,5,IoT
342,343,AGRI S7014 , Crop and Forage Science ,Dundalk Institute of Technology,Crop and livestock production,Yes,,DKIT,Pharmaceutical / Science / Agriculture,18,IoT
343,344,CULT H7007 ," Culture, Film and Society: France ",Dundalk Institute of Technology,Audio-visual techniques and media production,Yes,,DKIT,Online /Digital Media,17,IoT
344,345,CULT U7005 ," Culture, Society and Creative Media ",Dundalk Institute of Technology,Sociology and cultural studies,Yes,,DKIT,Online /Digital Media,17,IoT
345,346,MUSC U7038 ," Culture, Society and Popular Music ",Dundalk Institute of Technology,Music and performing arts,Yes,,DKIT,Architecture / Design,3,IoT
346,347,MRKT H6Z01 , Customer Service   Internal and Interactive Marketing,Dundalk Institute of Technology,"Hotel, restaurant and catering",Yes,,DKIT,Marketing /Market Research,15,IoT
347,348,69705, DART ,Dundalk Institute of Technology,Audio-visual techniques and media production,Yes,,DKIT,Online /Digital Media,17,IoT
348,349,COMP I8032 , Data Analysis and Visualisation ,Dundalk Institute of Technology,Computing,Yes,,DKIT,IT,11,IoT
349,350,No ID Found,Data Communications and Protocols,Dundalk Institute of Technology,Electronics and automation,Yes,,DKIT,Manufacturing / Engineering,14,IoT
350,351,ENVR S8012 , Data Handling and GIS ,Dundalk Institute of Technology,Science,Yes,,DKIT,Big Data / Business Analysis,4,IoT
351,352,DATA S8002 , Data Handling and Modelling ,Dundalk Institute of Technology,Environmental Science,Yes,,DKIT,Big Data / Business Analysis,4,IoT
352,353,AGRI S6018 , Data Management and Analysis ,Dundalk Institute of Technology,Food processing,Yes,,DKIT,Big Data / Business Analysis,4,IoT
353,354,DATA C9003 , Data Visualisation and Insight ,Dundalk Institute of Technology,Computing,Yes,,DKIT,IT,11,IoT
354,355,COMP C9040 , Database and Digital Asset Management for the Animation Pipeline ,Dundalk Institute of Technology,Computer Science,Yes,,DKIT,IT,11,IoT
355,356,DBMS C8022 , Database and Web Development ,Dundalk Institute of Technology,Computer Science,Yes,,DKIT,IT,11,IoT
356,357,DBMS C7007 , Database Development ,Dundalk Institute of Technology,Computer Science,Yes,,DKIT,IT,11,IoT
357,358,DBMS C8023 , Databases and Web Integration ,Dundalk Institute of Technology,Computer Science,Yes,,DKIT,IT,11,IoT
358,359,COMP C8085 , Design and Prototype ,Dundalk Institute of Technology,Computing,Yes,,DKIT,IT,11,IoT
359,360,ENGR E6026 , Design and Innovation ,Dundalk Institute of Technology,Design,Yes,,DKIT,Architecture / Design,3,IoT
360,361,MEDA C8Z35 , Design for Creative Advertising and Digital Marketing ,Dundalk Institute of Technology,Audio-visual techniques and media production,Yes,,DKIT,Marketing /Market Research,15,IoT
361,362,SOCC H8027 , Developing Professional Practice ,Dundalk Institute of Technology,"Social Science, Business and Law",Yes,,DKIT,Healthcare / Medical / Nursing,9,IoT
362,363,BUSS H7002 , Development Education ,Dundalk Institute of Technology,Sports,Yes,,DKIT,Education / Training,6,IoT
363,364,YTWK H7008 , Development Studies 1 ,Dundalk Institute of Technology,Social work and counselling,Yes,,DKIT,Healthcare / Medical / Nursing,9,IoT
364,365,YTWK H7006 , Developmental Psychology ,Dundalk Institute of Technology,Social work and counselling,Yes,,DKIT,Healthcare / Medical / Nursing,9,IoT
365,366,PSYC N7005 , Developmental Psychology ,Dundalk Institute of Technology,Training for pre-school teachers,Yes,,DKIT,Education / Training,6,IoT
366,367,MRKT B6006 , Digital and Social Media Marketing ,Dundalk Institute of Technology,"Hotel, restaurant and catering",Yes,,DKIT,Marketing /Market Research,15,IoT
367,368,PROJ E6004 , Digital Design and Fabrication Project ,Dundalk Institute of Technology,Design,Yes,,DKIT,Architecture / Design,3,IoT
368,369,MRKT B8029 , Digital Marketing Theory and Practice ,Dundalk Institute of Technology,Management and administration,Yes,,DKIT,Marketing /Market Research,15,IoT
369,370,COMP I8017 , Digital Sculpting and Digital Painting ,Dundalk Institute of Technology,Computing,Yes,,DKIT,IT,11,IoT
370,371,ELTR E7021X , Digital Signal Processing ,Dundalk Institute of Technology,Electronics and automation,Yes,,DKIT,Manufacturing / Engineering,14,IoT
371,372,CULN B7Z05 , Digital Skills for Tourism ,Dundalk Institute of Technology,"Travel, tourism and leisure",Yes,,DKIT,Online /Digital Media,17,IoT
372,373,YTWK H7013 ," Diversity, Equality and Social Justice ",Dundalk Institute of Technology,Social work and counselling,Yes,,DKIT,Healthcare / Medical / Nursing,9,IoT
373,374,FILM H7012 , Documentary Production: Theory and Practice ,Dundalk Institute of Technology,Audio-visual techniques and media production,Yes,,DKIT,Online /Digital Media,17,IoT
374,375,FILM H7012 X , Documentary Production: Theory and Practice ,Dundalk Institute of Technology,Audio-visual techniques and media production,Yes,,DKIT,Online /Digital Media,17,IoT
375,376,MRKTB8Z07 , Doing Business in New and Emerging Markets ,Dundalk Institute of Technology,Business & Administration,Yes,,DKIT,Secreterial / Admin / PA,20,IoT
376,377,PROG C7014 , Dynamic Web Development ,Dundalk Institute of Technology,Computer Science,Yes,,DKIT,IT,11,IoT
377,378,EDUC N7008 , Early Childhood: Observation and the assessment process ,Dundalk Institute of Technology,Training for pre-school teachers,Yes,,DKIT,Education / Training,6,IoT
378,379,COMM N7007 , Early Language & Communication Development ,Dundalk Institute of Technology,Psychology,Yes,,DKIT,Healthcare / Medical / Nursing,9,IoT
379,380,AGRI S8Z14 , Economics and Farm Records ,Dundalk Institute of Technology,Crop and livestock production,Yes,,DKIT,Accountancy / Finance,2,IoT
380,381,CULN B7Z01 , Economics and Management Accounting ,Dundalk Institute of Technology,"Hotel, restaurant and catering",Yes,,DKIT,Accountancy / Finance,2,IoT
381,382,MEDA C8Z25 , Editorial & Branding Design ,Dundalk Institute of Technology,Audio-visual techniques and media production,Yes,,DKIT,Online /Digital Media,17,IoT
382,383,NURS N8226 , Effective Communication with People with an Intellectual Disability ,Dundalk Institute of Technology,Nursing and midwifery,Yes,,DKIT,Healthcare / Medical / Nursing,9,IoT
383,384,NURS N7002 , Effective Leadership and Mentoring in the Early Years Sector ,Dundalk Institute of Technology,Training for pre-school teachers,Yes,,DKIT,Education / Training,6,IoT
384,385,ELEC E8001 , Electrical and Electronic Principles ,Dundalk Institute of Technology,Electricity and energy,Yes,,DKIT,Energy / Renewable Energy,7,IoT
385,386,ELEC E6004 , Electrical Conservation and Renewables ,Dundalk Institute of Technology,"Engineering, Manufacturing and Construction",Yes,,DKIT,Energy / Renewable Energy,7,IoT
386,387,MUSC H9Z01 , Electroacoustic Music & Comp 1 ,Dundalk Institute of Technology,Music and performing arts,Yes,,DKIT,Architecture / Design,3,IoT
387,388,ELTR E8Z01 , Electronic Circuits and Systems ,Dundalk Institute of Technology,Electronics and automation,Yes,,DKIT,Manufacturing / Engineering,14,IoT
388,389,No ID Found,Embedded Systems and Sensors,Dundalk Institute of Technology,Electronics and automation,Yes,,DKIT,Manufacturing / Engineering,14,IoT
389,390,57082, Emergency and Critical Care Veterinary Nursing ,Dundalk Institute of Technology,Veterinary,Yes,,DKIT,Pharmaceutical / Science / Agriculture,18,IoT
390,391,ENGR E7047 , Engineering Design 2 ,Dundalk Institute of Technology,Electronics and automation,Yes,,DKIT,Construction / Engineering,5,IoT
391,392,ENGR E7042 , Engineering Principles 2 ,Dundalk Institute of Technology,Electronics and automation,Yes,,DKIT,Construction / Engineering,5,IoT
392,393,ENGR E8Z01 , Engineering Professional Practice ,Dundalk Institute of Technology,"Engineering, Manufacturing and Construction",Yes,,DKIT,Construction / Engineering,5,IoT
393,394,ENGR E6010 , Engineering Skills and Technology 1 ,Dundalk Institute of Technology,"Engineering, Manufacturing and Construction",Yes,,DKIT,Construction / Engineering,5,IoT
394,395,ENGR E6016 , Engineering Skills and Technology 2 ,Dundalk Institute of Technology,"Engineering, Manufacturing and Construction",Yes,,DKIT,Construction / Engineering,5,IoT
395,396,ENGR E6019 , Engineering Skills and Technology 3 ,Dundalk Institute of Technology,"Engineering, Manufacturing and Construction",Yes,,DKIT,Construction / Engineering,5,IoT
396,397,ENGR E6023 , Engineering Skills and Technology 4 ,Dundalk Institute of Technology,"Engineering, Manufacturing and Construction",Yes,,DKIT,Construction / Engineering,5,IoT
397,398,ENGL C8Z05 , English 3 ,Dundalk Institute of Technology,Foreign languages,Yes,,DKIT,Multi-lingual,16,IoT
398,399,50870, ENGLISH TRADITIONAL MUSIC ,Dundalk Institute of Technology,Music and performing arts,Yes,,DKIT,Architecture / Design,3,IoT
399,400,ENES E8007 , Enterprise and Operations ,Dundalk Institute of Technology,"Engineering, Manufacturing and Construction",Yes,,DKIT,Manufacturing / Engineering,14,IoT
400,401,PROJ B7015 , Enterprise Development Project ,Dundalk Institute of Technology,Business & Administration,Yes,,DKIT,Secreterial / Admin / PA,20,IoT
401,402,ENES H1002 , Entrepreneurship and Economic Development ,Dundalk Institute of Technology,Marketing and advertising,Yes,,DKIT,Marketing /Market Research,15,IoT
402,403,53932, Entrepreneurship and Innovation ,Dundalk Institute of Technology,"Engineering, Manufacturing and Construction",Yes,,DKIT,Manufacturing / Engineering,14,IoT
403,404,ENGR E8005 , Entrepreneurship and Innovation for Sustainability ,Dundalk Institute of Technology,"Engineering, Manufacturing and Construction",Yes,,DKIT,Manufacturing / Engineering,14,IoT
404,405,ENGR E8021 , Entrepreneurship and Innovation for Sustainability ,Dundalk Institute of Technology,"Engineering, Manufacturing and Construction",Yes,,DKIT,Manufacturing / Engineering,14,IoT
405,406,ENES B9001 , Entrepreneurship Theory and Practice ,Dundalk Institute of Technology,Marketing and advertising,Yes,,DKIT,Marketing /Market Research,15,IoT
406,407,EDUC N8098 ," Entrepreneurship, Business and Management Skills in the Early Years Context ",Dundalk Institute of Technology,Training for pre-school teachers,Yes,,DKIT,Education / Training,6,IoT
407,408,53595, Environmental Communication and Critique ,Dundalk Institute of Technology,Environmental Science,Yes,,DKIT,Pharmaceutical / Science / Agriculture,18,IoT
408,409,ENVR S8011 , Environmental Communication and Critique ,Dundalk Institute of Technology,Environmental Science,Yes,,DKIT,Pharmaceutical / Science / Agriculture,18,IoT
409,410,ENVR S8007 , Environmental Field Studies and GIS ,Dundalk Institute of Technology,Science,Yes,,DKIT,Pharmaceutical / Science / Agriculture,18,IoT
410,411,ENVR S8019 , Environmental Monitoring and GIS ,Dundalk Institute of Technology,Environmental Science,Yes,,DKIT,Pharmaceutical / Science / Agriculture,18,IoT
411,412,ENVR S8015 , Environmental Monitoring and Modelling ,Dundalk Institute of Technology,Environmental Science,Yes,,DKIT,Pharmaceutical / Science / Agriculture,18,IoT
412,413,ENVR S8004 , Environmental Review and Critique ,Dundalk Institute of Technology,Science,Yes,,DKIT,Pharmaceutical / Science / Agriculture,18,IoT
413,414,LAW N8011 , Ethical and Legal Practice ,Dundalk Institute of Technology,Nursing and midwifery,Yes,,DKIT,Healthcare / Medical / Nursing,9,IoT
414,415,LAW N8010 , Ethical and Legal Practice for Midwifery ,Dundalk Institute of Technology,Nursing and midwifery,Yes,,DKIT,Healthcare / Medical / Nursing,9,IoT
415,416,LAW N8009 , Ethical and Legal Practice General Nursing ,Dundalk Institute of Technology,Nursing and midwifery,Yes,,DKIT,Healthcare / Medical / Nursing,9,IoT
416,417,NURS N8238 , Ethical and Legal Practice in Intellectual Disability Nursing ,Dundalk Institute of Technology,Nursing and midwifery,Yes,,DKIT,Healthcare / Medical / Nursing,9,IoT
417,418,PROJ S8008 , Ethical Project Design and Statistics. ,Dundalk Institute of Technology,Science,Yes,,DKIT,Pharmaceutical / Science / Agriculture,18,IoT
418,419,COMP C7016 , Ethics and Professional Issues ,Dundalk Institute of Technology,Computer Science,Yes,,DKIT,IT,11,IoT
419,420,DATA C8002 , Ethics and Social Responsibility in Data Analytics ,Dundalk Institute of Technology,Mathematics,Yes,,DKIT,Big Data / Business Analysis,4,IoT
420,421,MUSC U8190 , Ethnomusicology ,Dundalk Institute of Technology,Music and performing arts,Yes,,DKIT,Architecture / Design,3,IoT
421,422,LAW B8010 , European Law and Business ,Dundalk Institute of Technology,Management and administration,Yes,,DKIT,Legal,12,IoT
422,423,50882, EUROPEAN TRADITIONAL MUSIC ,Dundalk Institute of Technology,Music and performing arts,Yes,,DKIT,Architecture / Design,3,IoT
423,424,EVNT H6005 , Event Planning and Execution ,Dundalk Institute of Technology,"Hotel, restaurant and catering",Yes,,DKIT,Warehouse / Logistics / Shipping,21,IoT
424,425,EVNT H6004 , Event Public Relations and Marketing ,Dundalk Institute of Technology,"Hotel, restaurant and catering",Yes,,DKIT,Marketing /Market Research,15,IoT
425,426,SOCC H8026 , Evidence based Social Care Practice,Dundalk Institute of Technology,"Social Science, Business and Law",Yes,,DKIT,Healthcare / Medical / Nursing,9,IoT
426,427,HLST N8135 , Exercise and Health Studies ,Dundalk Institute of Technology,Health,Yes,,DKIT,Healthcare / Medical / Nursing,9,IoT
427,428,HLST N8164 , Exercise and Health Studies 1 ,Dundalk Institute of Technology,Health,Yes,,DKIT,Healthcare / Medical / Nursing,9,IoT
428,429,HLST N8165 , Exercise and Health Studies 2 ,Dundalk Institute of Technology,Health,Yes,,DKIT,Healthcare / Medical / Nursing,9,IoT
429,430,SPOR H8014 , Exercise and Sports Psychology ,Dundalk Institute of Technology,Sports,Yes,,DKIT,Healthcare / Medical / Nursing,9,IoT
430,431,HLST N8139 , Exercise Physiology and Lab Based Fitness Techniques ,Dundalk Institute of Technology,Health,Yes,,DKIT,Healthcare / Medical / Nursing,9,IoT
431,432,SPOR H7020 , Exercise Professional 1 ,Dundalk Institute of Technology,Sports,Yes,,DKIT,Healthcare / Medical / Nursing,9,IoT
432,433,SPOR H7021 , Exercise Professional 2 ,Dundalk Institute of Technology,Sports,Yes,,DKIT,Healthcare / Medical / Nursing,9,IoT
433,434,PSYC H7006 , Exercise Psychology and Behavioural Change ,Dundalk Institute of Technology,Sports,Yes,,DKIT,Healthcare / Medical / Nursing,9,IoT
434,435,EDUC N7009 , Exploration of Emergent Numeracy and Literacy ,Dundalk Institute of Technology,Training for pre-school teachers,Yes,,DKIT,Education / Training,6,IoT
435,436,PSYC N8061 , Exploring and Thinking in Early Childhood ,Dundalk Institute of Technology,Psychology,Yes,,DKIT,Healthcare / Medical / Nursing,9,IoT
436,437,EDUC N8071 , Exploring Numeracy and Literacy in Early Childhood ,Dundalk Institute of Technology,Training for pre-school teachers,Yes,,DKIT,Education / Training,6,IoT
437,438,AGRI S8Z24 ," Farm Business Planning, Analysis and Legal Issues ",Dundalk Institute of Technology,Crop and livestock production,Yes,,DKIT,Legal,12,IoT
438,439,AGRI S6005 , Farm Facilities and Machinery ,Dundalk Institute of Technology,Crop and livestock production,Yes,,DKIT,Pharmaceutical / Science / Agriculture,18,IoT
439,440,AGRI S8Z16 , Farm Management and Accounting ,Dundalk Institute of Technology,Crop and livestock production,Yes,,DKIT,Accountancy / Finance,2,IoT
440,441,HLST N8142 , Field Based Techniques and Programme Design ,Dundalk Institute of Technology,Health,Yes,,DKIT,Healthcare / Medical / Nursing,9,IoT
441,442,MEDA H7005 , Film and Media Theory ,Dundalk Institute of Technology,Audio-visual techniques and media production,Yes,,DKIT,Online /Digital Media,17,IoT
442,443,CULT H7002 ," Film, Culture and Society: North America ",Dundalk Institute of Technology,Audio-visual techniques and media production,Yes,,DKIT,Online /Digital Media,17,IoT
443,444,AGRI S7012 , Finance and Communications ,Dundalk Institute of Technology,Crop and livestock production,Yes,,DKIT,Financial Services,8,IoT
444,445,FNCE H7003 , Finance for Film and Television ,Dundalk Institute of Technology,Audio-visual techniques and media production,Yes,,DKIT,Financial Services,8,IoT
445,446,AGRI S8Z29 , Financial Management Systems ,Dundalk Institute of Technology,Crop and livestock production,Yes,,DKIT,Pharmaceutical / Science / Agriculture,18,IoT
446,447,CULN B6032 , Financially Based Decision Making ,Dundalk Institute of Technology,"Hotel, restaurant and catering",Yes,,DKIT,Managers / Supervisors,13,IoT
447,448,57131, Financially Based Decision Making and Economics for Tourism ,Dundalk Institute of Technology,"Travel, tourism and leisure",Yes,,DKIT,Accountancy / Finance,2,IoT
448,449,PROJ S9002 , Food and Feed Biotechnology Project ,Dundalk Institute of Technology,Crop and livestock production,Yes,,DKIT,Pharmaceutical / Science / Agriculture,18,IoT
449,450,AGRI S8Z11 , Food Chain Integrity and Logistics ,Dundalk Institute of Technology,Science,Yes,,DKIT,Warehouse / Logistics / Shipping,21,IoT
450,451,BUSS B8Z02 , Food Packaging and Preservation ,Dundalk Institute of Technology,Food processing,Yes,,DKIT,Manufacturing / Engineering,14,IoT
451,452,AGRI S6015 , Food Processing and Operations Management ,Dundalk Institute of Technology,Food processing,Yes,,DKIT,Warehouse / Logistics / Shipping,21,IoT
452,453,SCIA N8Z03 , Foundation Studies in Natural Sciences 1 ,Dundalk Institute of Technology,Nursing and midwifery,Yes,,DKIT,Healthcare / Medical / Nursing,9,IoT
453,454,SCIA N8002 , Foundation Studies in Natural Sciences 2 ,Dundalk Institute of Technology,Nursing and midwifery,Yes,,DKIT,Healthcare / Medical / Nursing,9,IoT
454,455,NURS N8216 , Foundations of General Nursing Practice ,Dundalk Institute of Technology,Nursing and midwifery,Yes,,DKIT,Healthcare / Medical / Nursing,9,IoT
455,456,FREN B7Z16 , French and Cultural Competence ,Dundalk Institute of Technology,"Hotel, restaurant and catering",Yes,,DKIT,Multi-lingual,16,IoT
456,457,57127, French and Francophone Culture for Tourism ,Dundalk Institute of Technology,"Travel, tourism and leisure",Yes,,DKIT,Multi-lingual,16,IoT
457,458,FREN H8009 ," French poetry, novels and ideas of the twentieth century ",Dundalk Institute of Technology,Humanities,Yes,,DKIT,Multi-lingual,16,IoT
458,459,CULT H8031 , French Society and Literature: perspectives on French writers ,Dundalk Institute of Technology,Humanities,Yes,,DKIT,Multi-lingual,16,IoT
459,460,FREN H8007 ," French society, history and ideas in nineteenth century novels ",Dundalk Institute of Technology,Humanities,Yes,,DKIT,Multi-lingual,16,IoT
460,461,MEDA C8Z38 , Front End Web Development,Dundalk Institute of Technology,Audio-visual techniques and media production,Yes,,DKIT,Online /Digital Media,17,IoT
461,462,COMP I8023 , Full Stack Development ,Dundalk Institute of Technology,Computing,Yes,,DKIT,IT,11,IoT
462,463,TEMPCODE43 , Functional and Therapeutic Interventions ,Dundalk Institute of Technology,Health,Yes,,DKIT,Healthcare / Medical / Nursing,9,IoT
463,464,57225, Fundamentals and Principles of Data Analytics ,Dundalk Institute of Technology,Business & Administration,Yes,,DKIT,Big Data / Business Analysis,4,IoT
464,465,BUSS B7018 , Fundamentals and Principles of Law ,Dundalk Institute of Technology,Business & Administration,Yes,,DKIT,Secreterial / Admin / PA,20,IoT
465,466,PHAR S8020 , Fundamentals of Molecular Biology and Biotechnology ,Dundalk Institute of Technology,Science,Yes,,DKIT,Pharmaceutical / Science / Agriculture,18,IoT
466,467,56999, Fundamentals of Prescribing for Nurses and Midwives ,Dundalk Institute of Technology,Health,Yes,,DKIT,Healthcare / Medical / Nursing,9,IoT
